keyword,queries,coverage
ABORT,0,0.0
ACTION,0,0.0
ADD,1412,0.1412
AFTER,459,0.0459
ALL,1405,0.1405
ALTER,2776,0.2776
ALWAYS,284,0.0284
ANALYZE,683,0.0683
AND,2405,0.2405
AS,8220,0.822
ASC,0,0.0
ATTACH,137,0.0137
AUTOINCREMENT,246,0.0246
BEFORE,0,0.0
BEGIN,1342,0.1342
BETWEEN,288,0.0288
BY,4577,0.4577
CASCADE,0,0.0
CASE,455,0.0455
CAST,6840,0.684
CHECK,1355,0.1355
COLLATE,583,0.0583
COLUMN,1881,0.1881
COMMIT,383,0.0383
CONFLICT,0,0.0
CONSTRAINT,231,0.0231
CREATE,9949,0.9949
CROSS,238,0.0238
CURRENT,0,0.0
CURRENT_DATE,0,0.0
CURRENT_TIME,0,0.0
CURRENT_TIMESTAMP,0,0.0
DATABASE,0,0.0
DEFAULT,572,0.0572
DEFERRABLE,0,0.0
DEFERRED,0,0.0
DELETE,550,0.055
DESC,256,0.0256
DETACH,0,0.0
DISTINCT,1208,0.1208
DO,0,0.0
DROP,1784,0.1784
EACH,0,0.0
ELSE,276,0.0276
END,1072,0.1072
ESCAPE,0,0.0
EXCEPT,430,0.043
EXCLUDE,0,0.0
EXCLUSIVE,0,0.0
EXISTS,8715,0.8715
EXPLAIN,0,0.0
FAIL,0,0.0
FILTER,0,0.0
FIRST,0,0.0
FOLLOWING,0,0.0
FOR,0,0.0
FOREIGN,367,0.0367
FROM,8250,0.825
FULL,0,0.0
GENERATED,284,0.0284
GLOB,0,0.0
GROUP,2165,0.2165
GROUPS,0,0.0
HAVING,309,0.0309
IF,8654,0.8654
IGNORE,0,0.0
IMMEDIATE,0,0.0
IN,1204,0.1204
INDEX,2781,0.2781
INDEXED,0,0.0
INITIALLY,0,0.0
INNER,652,0.0652
INSERT,8659,0.8659
INSTEAD,0,0.0
INTERSECT,774,0.0774
INTO,8541,0.8541
IS,1057,0.1057
ISNULL,0,0.0
JOIN,2787,0.2787
KEY,4415,0.4415
LAST,0,0.0
LEFT,1422,0.1422
LIKE,656,0.0656
LIMIT,0,0.0
MATCH,0,0.0
MATERIALIZED,0,0.0
NATURAL,0,0.0
NO,0,0.0
NOT,8663,0.8663
NOTHING,0,0.0
NOTNULL,0,0.0
NULL,2191,0.2191
NULLS,0,0.0
OF,0,0.0
OFFSET,0,0.0
ON,5272,0.5272
OR,1200,0.12
ORDER,3333,0.3333
OTHERS,0,0.0
OUTER,0,0.0
OVER,596,0.0596
PARTITION,368,0.0368
PLAN,0,0.0
PRAGMA,1371,0.1371
PRECEDING,0,0.0
PRIMARY,4178,0.4178
QUERY,0,0.0
RAISE,0,0.0
RANGE,0,0.0
RECURSIVE,722,0.0722
REFERENCES,886,0.0886
REGEXP,0,0.0
REINDEX,0,0.0
RELEASE,0,0.0
RENAME,920,0.092
REPLACE,30,0.003
RESTRICT,0,0.0
RETURNING,0,0.0
RIGHT,349,0.0349
ROLLBACK,0,0.0
ROW,0,0.0
ROWS,0,0.0
SAVEPOINT,0,0.0
SELECT,8006,0.8006
SET,1280,0.128
TABLE,9955,0.9955
TEMP,0,0.0
TEMPORARY,433,0.0433
THEN,455,0.0455
TIES,0,0.0
TO,920,0.092
TRANSACTION,135,0.0135
TRIGGER,459,0.0459
UNBOUNDED,0,0.0
UNION,1662,0.1662
UNIQUE,1126,0.1126
UPDATE,1313,0.1313
USING,489,0.0489
VACUUM,0,0.0
VALUES,8656,0.8656
VIEW,1398,0.1398
VIRTUAL,368,0.0368
WHEN,455,0.0455
WHERE,6584,0.6584
WINDOW,231,0.0231
WITH,868,0.0868
WITHOUT,1258,0.1258
